couple_id,f_age,f_imprace,f_attr,f_sinc,f_intel,f_fun,f_amb,f_like,m_age,m_imprace,m_attr,m_sinc,m_intel,m_fun,m_amb,m_like,int_corr,samerace,match
f1-m11,21.0,2.0,6.0,9.0,7.0,7.0,6.0,7.0,27.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,0.14,0,0
f1-m12,21.0,2.0,7.0,8.0,7.0,8.0,5.0,7.0,22.0,1.0,7.0,8.0,10.0,7.0,7.0,8.0,0.54,0,0
f1-m13,21.0,2.0,5.0,8.0,9.0,8.0,5.0,7.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,0.16,1,1
f1-m14,21.0,2.0,7.0,6.0,8.0,7.0,6.0,7.0,23.0,1.0,7.0,8.0,9.0,8.0,9.0,7.0,0.61,0,1
f1-m15,21.0,2.0,5.0,6.0,7.0,7.0,6.0,6.0,24.0,3.0,8.0,7.0,9.0,6.0,9.0,8.0,0.21,0,1
f1-m16,21.0,2.0,4.0,9.0,7.0,4.0,6.0,6.0,25.0,9.0,7.0,7.0,8.0,8.0,7.0,7.0,0.25,0,0
f1-m17,21.0,2.0,7.0,6.0,7.0,4.0,6.0,6.0,30.0,1.0,3.0,6.0,7.0,5.0,8.0,2.0,0.34,0,0
f1-m18,21.0,2.0,4.0,9.0,7.0,6.0,5.0,6.0,27.0,8.0,6.0,7.0,5.0,6.0,8.0,7.0,0.5,0,0
f1-m19,21.0,2.0,7.0,6.0,8.0,9.0,8.0,7.0,28.0,1.0,7.0,7.0,8.0,8.0,8.0,6.5,0.28,0,1
f1-m20,21.0,2.0,5.0,6.0,6.0,8.0,10.0,6.0,24.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,-0.36,0,0
f2-m11,24.0,2.0,5.0,7.0,8.0,4.0,6.0,6.0,27.0,7.0,8.0,7.0,6.0,9.0,7.0,7.0,0.29,1,0
f2-m12,24.0,2.0,8.0,5.0,6.0,6.0,9.0,7.0,22.0,1.0,7.0,6.0,10.0,6.0,6.0,8.0,0.18,1,0
f2-m13,24.0,2.0,5.0,8.0,9.0,6.0,3.0,6.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,0.1,0,0
f2-m14,24.0,2.0,7.0,9.0,7.0,6.0,5.0,7.0,23.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,-0.21,1,1
f2-m15,24.0,2.0,6.0,8.0,7.0,9.0,7.0,8.0,24.0,3.0,10.0,10.0,10.0,10.0,7.0,10.0,0.32,0,0
f2-m16,24.0,2.0,8.0,7.0,8.0,3.0,6.0,6.0,25.0,9.0,7.0,8.0,7.0,5.0,7.0,7.0,0.73,1,0
f2-m17,24.0,2.0,7.0,5.0,9.0,6.0,7.0,8.0,30.0,1.0,5.0,3.0,4.0,3.0,5.0,4.0,0.6,1,0
f2-m18,24.0,2.0,5.0,8.0,7.0,5.0,9.0,5.0,27.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,0.07,1,0
f2-m19,24.0,2.0,7.0,6.0,8.0,9.0,4.0,5.0,28.0,1.0,8.0,6.0,9.0,9.0,8.0,8.0,0.11,1,1
f2-m20,24.0,2.0,6.0,7.0,8.0,7.0,9.0,8.0,24.0,1.0,6.0,5.0,7.0,7.0,9.0,6.0,0.39,1,0
f3-m11,25.0,8.0,7.0,9.0,10.0,7.0,8.0,8.0,27.0,7.0,7.0,8.0,6.0,5.0,8.0,5.0,-0.24,1,0
f3-m12,25.0,8.0,9.0,7.0,9.0,8.0,9.0,8.0,22.0,1.0,6.0,7.0,10.0,6.0,6.0,7.0,-0.14,1,0
f3-m13,25.0,8.0,7.0,9.0,9.0,7.0,9.0,8.0,22.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,0.09,0,0
f3-m14,25.0,8.0,9.0,7.0,9.0,7.0,9.0,8.0,23.0,1.0,7.0,9.0,8.0,8.0,8.0,7.0,-0.04,1,0
f3-m16,25.0,8.0,8.0,10.0,10.0,7.0,9.0,8.0,25.0,9.0,7.0,6.0,6.0,6.0,6.0,6.0,-0.3,1,0
f3-m17,25.0,8.0,8.0,9.0,10.0,7.0,7.0,8.0,30.0,1.0,6.0,3.0,5.0,4.0,5.0,2.0,-0.26,1,0
f3-m18,25.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,27.0,8.0,4.0,5.0,6.0,4.0,6.0,5.0,0.29,1,0
f3-m19,25.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,28.0,1.0,7.0,7.0,6.0,8.0,7.0,7.0,-0.15,1,0
f3-m20,25.0,8.0,8.0,7.0,9.0,7.0,9.0,8.0,24.0,1.0,5.0,6.0,8.0,5.0,8.0,5.0,-0.47,1,0
f4-m11,23.0,1.0,4.0,10.0,8.0,5.0,8.0,6.0,27.0,7.0,6.0,7.0,8.0,7.0,7.0,6.0,-0.18,1,0
f4-m12,23.0,1.0,8.0,7.0,8.0,10.0,7.0,8.0,22.0,1.0,6.0,5.0,10.0,6.0,6.0,6.0,-0.18,1,0
